"participant","X","environment","ageGroup","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","age_years","age_months","id"
89,1939,"Smooth","Younger",4,389.305613240129,0.0639178706470477,"RBF","UCB",NA,33.4250747859602,0.141113196663889,0.182737935410719,93.2088911310236,6,82,388
89,1940,"Smooth","Younger",5,389.305613240129,0.0639178706470477,"RBF","UCB",NA,36.3626895995935,0.482784184671844,0.175637269951714,98.217651099937,6,82,388
91,1945,"Smooth","Younger",2,361.027587845339,0.131912148985708,"RBF","UCB",NA,0.390521626185455,0.546178764880191,0.00673795174521649,97.7654886386327,5,66,390
91,1946,"Smooth","Younger",3,361.027587845339,0.131912148985708,"RBF","UCB",NA,0.397773928074525,0.535091324855758,0.00673794738875328,108.218365886047,5,66,390
91,1947,"Smooth","Younger",4,361.027587845339,0.131912148985708,"RBF","UCB",NA,0.53588413140667,0.522408564768545,0.0469048396530519,71.6546918956752,5,66,390
91,1948,"Smooth","Younger",5,361.027587845339,0.131912148985708,"RBF","UCB",NA,0.379659509203783,0.554911697541887,0.00673802805025924,83.3890414249841,5,66,390
93,1954,"Smooth","Younger",3,403.257617007628,0.0303703929039912,"RBF","UCB",NA,1.1470235243889,50.5914746586273,19.9060746241553,95.7826671399358,6,72,392
93,1953,"Smooth","Younger",2,403.257617007628,0.0303703929039912,"RBF","UCB",NA,1.08764859652685,50.3802085503196,16.6340887571389,98.7228160596358,6,72,392
93,1955,"Smooth","Younger",4,403.257617007628,0.0303703929039912,"RBF","UCB",NA,1.06059685355803,50.757832834151,17.9668590854024,97.572890735114,6,72,392
93,1956,"Smooth","Younger",5,403.257617007628,0.0303703929039912,"RBF","UCB",NA,1.34159500740112,50.2599575266818,12.1696327070904,111.179243072942,6,72,392
96,1965,"Smooth","Younger",2,401.035681151314,0.0357130193057869,"RBF","UCB",NA,0.0322245957128461,49.9977222507517,16.3484015249138,98.3820982748278,6,82,395
96,1967,"Smooth","Younger",4,401.035681151314,0.0357130193057869,"RBF","UCB",NA,0.155167967741655,54.5851457559228,16.3466024683429,98.3883866095632,6,82,395
96,1966,"Smooth","Younger",3,401.035681151314,0.0357130193057869,"RBF","UCB",NA,0.0883565610080621,2.48667137778868,0.0107486150571184,105.890481603608,6,82,395
96,1968,"Smooth","Younger",5,401.035681151314,0.0357130193057869,"RBF","UCB",NA,0.00796131508301234,49.9975064098402,16.3268942192796,98.3747146633147,6,82,395
97,1971,"Smooth","Younger",4,318.431852745339,0.234333241972025,"RBF","UCB",NA,0.414358679003155,0.532690027451127,0.00673982859011731,96.1892346434307,6,74,396
97,1972,"Smooth","Younger",5,318.431852745339,0.234333241972025,"RBF","UCB",NA,0.409052296182982,0.519799654146554,0.00673799641690226,68.7415676241694,6,74,396
97,1969,"Smooth","Younger",2,318.431852745339,0.234333241972025,"RBF","UCB",NA,0.401242484160535,0.536961977033779,0.0067476001854629,71.0078306963963,6,74,396
