"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
86,794.342901825048,"BMT","UCB",0.0450045289763782,3.98181790769113,NA,0.86252337005297,0.127081619037692,NA,14,"Adolescent",168,"Smooth","[14,18)"
87,749.250034591105,"BMT","UCB",0.0992172422579402,7.07335857718978,NA,0.32413550191277,0.00674322519019812,NA,13,"Adolescent",156,"Smooth","[11,14)"
88,798.98364805319,"BMT","UCB",0.0394252110019081,5.86314255985769,NA,0.849028136907393,0.0727037198658044,NA,15,"Adolescent",180,"Smooth","[14,18)"
89,784.328942278142,"BMT","UCB",0.0570437704580324,0.551767644615589,NA,10.2379905829169,0.0493864099510877,NA,13,"Adolescent",156,"Smooth","[11,14)"
90,784.328942278142,"BMT","UCB",0.0570437704580324,0.310980518563186,NA,13.4325608839932,0.0268814629901177,NA,16,"Adolescent",192,"Smooth","[14,18)"
91,509.299215889565,"BMT","UCB",0.387697122422906,7.97238682779437,NA,0.277063738099958,0.00673818744634688,NA,13,"Adolescent",156,"Smooth","[11,14)"
92,727.9612233726,"BMT","UCB",0.124811627567405,11.4720629596557,NA,0.101185969538815,0.0069908677547441,NA,14,"Adolescent",168,"Smooth","[14,18)"
93,382.351744380254,"BMT","UCB",0.540319195422802,2.28124875005959,NA,0.0699242192053992,0.0464199779933866,NA,15,"Adolescent",180,"Smooth","[14,18)"
94,494.193987021547,"BMT","UCB",0.405857321405724,5.48270049411425,NA,0.244708970943744,0.0147416863509971,NA,16,"Adolescent",192,"Smooth","[14,18)"
95,671.037919160258,"BMT","UCB",0.193247434815872,6.42725257527272,NA,0.0559981187524303,0.0307644745018629,NA,14,"Adolescent",168,"Smooth","[14,18)"
96,806.590764906041,"BMT","UCB",0.0302795862026829,0.00673810597626477,NA,0.261623109513447,0.0875560780237001,NA,15,"Adolescent",180,"Smooth","[14,18)"
97,594.75884798422,"BMT","UCB",0.284953632906944,4.37666021754236,NA,0.0460410882846,0.0410782449577633,NA,13,"Adolescent",156,"Smooth","[11,14)"
98,477.028574920073,"BMT","UCB",0.426494367167068,4.28710607443024,NA,0.101891813240775,0.0308287465961517,NA,16,"Adolescent",192,"Smooth","[14,18)"
99,414.619263258502,"BMT","UCB",0.501525704199937,4.74189445041563,NA,0.23810863842152,0.0137328082974843,NA,15,"Adolescent",180,"Smooth","[14,18)"
100,413.302086571945,"BMT","UCB",0.503109274427994,6.2383883169665,NA,0.304847397649964,0.00675522536265372,NA,15,"Adolescent",180,"Smooth","[14,18)"
101,818.057714951972,"BMT","UCB",0.0164934928981942,0.289704840634981,NA,22.6059950757832,23.3679319216938,NA,20,"Adolescent",240,"Smooth","[18,25)"
102,815.220871313058,"BMT","UCB",0.01990407643956,0.00673842611270735,NA,0.20031066021541,0.0721661968489166,NA,19,"Adolescent",228,"Smooth","[18,25)"
